speaker,line,words
JARED CHIRP,"Holy Ghost, come to me. Praise God. Praise God. Move up on me, Holy Ghost. Praise God.",17
JARED CHIRP,"This here sinner repents. Holy Ghost, move up on me.",10
JARED CHIRP,Protect me and mine with your quickening power.,8
JARED CHIRP,"Holy Ghost, come to me.",5
JARED CHIRP,"Oh, help me, Jesus! Oh, help me, Jesus! Help me, Jesus!",11
MULDER,"Not as far as you know?... Not this time of year?... All right. Thank you, Doctor. Good-bye.",17
SCULLY,Snakes.,1
MULDER,"Lots and lots of snakes. Very pissed off ones, from the look of it.",14
MULDER,"That's the former Mr. Jared Chirp of McMinn County, Tennessee.",10
SCULLY,"Oh, my God.",3
MULDER,116 separate bite marks. Judging from the wound measurements there were 50 different snakes involved-- mostly copperheads and rattlers.,19
SCULLY,But it says here that he was found dead in his car.,12
MULDER,"Yeah, with a pistol in his hand. He fired six shots, into the floorboards, into the passenger seat, even into his own right kneecap, and the windows were shut and the doors were locked.",34
SCULLY,"But, uh, what happened to all the snakes?",8
MULDER,"No one seems to know that. There was not a scale found. I just got off the phone with a herpetologist at the Smithsonian, and he's stumped - especially because these rattlesnakes tend to hibernate in winter.",36
SCULLY,"So you think that, uh... Mr. Chirp was murdered?",9
MULDER,"Well, it certainly would appear that way but the question is ""how?"" There's no physical evidence at all-- no tire tracks, no footprints. I can't see how anyone could have accomplished this. And then you got to ask yourself ""why?"" Why would anybody use poisonous snakes as a murder weapon?",50
SCULLY,"Maybe it's symbolic. I mean, serpents and religion have gone hand in hand. They've represented the temptation of Eve-- Original Sin. They've been feared and hated throughout history as they've been thought to embody Satan-- to serve Evil itself.",39
MULDER,Maybe these ones actually do.,5
SCULLY,These particular serpents actually were serving Evil? Are you going to type that on our travel request?,17
MULDER,Mmm... No. But at the very least this case does seem to center around religion... and you're not the only one to think that by the way.,27
REVEREND MACKEY,"Jared is in a better place now, Gracie. He's at peace.",11
IRIS FINSTER,"You know, Reverend Mackey's right, honey. He is in a better place.",12
MULDER,"Reverend Samuel Mackey? My name is Fox Mulder. This is Dana Scully. We're with the FBI. May be speak with you, sir?",22
IRIS FINSTER,"Come on, Gracie. Let's get you home.",7
MULDER,We apologize for our timing. We'd like to ask you a few questions about Jared Chirp.,16
REVEREND MACKEY,I've already spoken to the Sheriff about it... though I'm not sure that was a good idea.,17
MULDER,"Specifically, you had suspicions about the manner in which he died?",11
REVEREND MACKEY,"I should be the last one to point a finger or say a harsh word. Our church is founded on acceptance and tolerance of all people, all beliefs...",28
SCULLY,But...?,1
REVEREND MACKEY,Before Jared joined us he belonged to a fundamentalist congregation outside of town-- the Church of God with Signs and Wonders. It practices snake handling.,25
MULDER,"As a sign of faith, worshipers handle deadly snakes or drink poison.",12
REVEREND MACKEY,They believe that the Holy Spirit protects the righteous. Jared grew up in that church but it is very difficult to walk away from a belief system that one is raised in. It takes great courage.,36
MULDER,Why did he walk away?,5
REVEREND MACKEY,"He and Gracie, his girlfriend, left it together. They found that a rigid interpretation of the Bible was not for them, especially when it involves risking life and limb in the act of worship, but again it is not for me to judge. I will say, however, that both Jared and Gracie were persecuted by the members of their former church. All this animus... stems from their church leader-- Enoch O'Connor.",71
SCULLY,Animus enough to motivate a murder?,6
"""LOOK UNTO ME AND BE SAVED",ALL THE ENDS OF THE EARTH;,6
"FOR I AM GOD, AND THERE IS NONE OTHER",nan,1
ISAIAH 45,"22"" All the windows are shaded. MULDER and SCULLY walk up the steps onto the porch.)",16
SCULLY,Snake handling. I didn't learn that in catechism class.,9
MULDER,That's funny. I knew a couple of Catholic schoolgirls who were expert at it.,14
MULDER,Enoch O'Connor? Federal Agents. Where's the light switch?,8
SCULLY,The nearest one? Probably ten miles from here.,8
SCULLY,"Rattlesnakes and medieval visions of damnation. Well, I for one, feel a whole lot closer to God.",17
MULDER,"I don't know, Scully. When you... when you get right down to it is snake handling any harder to buy into than communion wafers or transubstantiation...?",26
SCULLY,"Or believing in flying saucers, for that matter.",8
MULDER,I'm just saying that-that your faith and O'Connor's seem to be based on the same book.,16
MULDER,"Uh-oh, Scully. What do you think O'Connor keeps in here?",10
SCULLY,Something slithery?,2
MULDER,It's all right. It's empty.,5
SCULLY,Why is it empty?,4
REVEREND O'CONNOR,By what right are you here?,6
SCULLY,"Reverend Enoch O'Connor, we're Federal Agents. We're, uh... with the FBI.",11
